HBD_cid,HBD_smiles,Vendor Status
91366743,C(C(CO)O)O,False
91352487,C(C(CO)O)O,False
91334142,C(C(CO)O)O,False
91318943,C(C(CO)O)O,False
91281662,C(C(CO)O)O,False
91248896,C(C(CO)O)O,False
91241207,C(C(CO)O)O,False
91222003,C(C(CO)O)O,False
91210344,C(C(CO)O)O,False
91199623,C(C(CO)O)O,False
91191661,C(C(CO)O)O,False
91191340,C(C(CO)O)O,False
91174896,C(C(CO)O)O,False
91162261,C(C(CO)O)O,False
91151604,C(C(CO)O)O,False
91107541,C(C(CO)O)O,False
91084810,C(C(CO)O)O,False
91072085,C(C(CO)O)O,False
91043481,C(C(CO)O)O,False
91025679,C(C(CO)O)O,False
90977701,C(C(CO)O)O,False
90971474,C(C(CO)O)O,False
90944029,C(C(CO)O)O,False
90923545,C(C(CO)O)O,False
90920101,C(C(CO)O)O,False
90858888,C(C(CO)O)O,False
90809457,C(C(CO)O)O,False
90793676,C(C(CO)O)O,False
90760160,C(C(CO)O)O,False
90756436,C(C(CO)O)O,False
90724407,CC(CO)O,False
90709925,C(C(CO)O)O,False
88944418,C(C(C(CO)OO)O)O,False
88818197,C(CO)C(C(O)(O)O)O,False
88772525,C(C(COP(O)O)O)O,True
88522993,C(C(C(O)(O)O)(O)O)(O)O,False
87764665,COOCC(CO)OOC,False
87575991,C(C(COS)O)OS,False
87573574,C(CF)C(CO)O,False
87462306,CCC(C(C)O)O,False
87339602,CCOOCC(C)O,False
87075110,C(C(CO)OO)O,False
87060941,C(C(C(O)P)O)O,False
87060357,CC(C(C)OC)O,False
66751347,CC(C(CO)O)OC,True
54184488,C(C(CO)O)O,False
21715449,C[As](=O)(C)OCC(CO)O,False
20111989,C(C(C(O)O)(O)O)(O)O,True
19830378,C1C(C1(O)O)O,False
19096454,[B]CC(CO)O,False
18458477,C(C(CP)O)O,False
13833785,C1C(OO1)CO,False
13801164,CCC(C(CO)O)O,True
12241263,CC(C(CO)O)O,True
12239082,C(C(CO)O)O,False
12239076,C(C(CO)O)O,False
11636797,CCC(C(CO)O)O,True
11412345,C(C(CO)O)O,False
11251965,C(C(CO)O)O,False
11007821,C(C(CO)O)O,False
10844338,C(C(CO)O)O,False
10486794,C1C(O1)CO,False
10240764,C(C(CO)O)O,True
6995508,CCOCC(CO)O,True
5484406,CC(C[O])O,False
10510807,C1C(O1)CO,False
10630887,C(C(CO)OCC(CO)O)O,False
12203551,CC(CO)O,False
12203559,CC(C(C)O)O,False
12203560,CC(C(C)O)O,True
12239072,C(C(CO)O)O,True
12239073,C(C(CO)O)O,True
12239074,C(C(CO)O)O,True
12239077,C(C(CO)O)O,True
12239081,C(C(CO)O)O,True
13414487,CC(CO)OCl(=O)(=O)=O,True
13801165,CCC(C(CO)O)O,False
13801166,CCC(C(CO)O)O,True
20040774,C(C(COO)OCl)O,False
22714870,[B](O)OCC(C)O,False
22942535,C(COCC(CO)O)O,True
23443634,B(O)(O)OC(CO)CO,True
24884332,C(C(COCC(CO)O)O)O,True
25021242,C(C(CON)O)O,True
25240353,C(C(CO)O)O,False
25240354,C(C(CO)O)O,False
25240587,C(C(CO)O)O,False
25240630,C(C(CO)O)O,False
25241034,C(C(CO)O)O,False
25241135,C(C(CO)O)O,False
25241137,C(C(CO)O)O,False
25241505,C(C(CO)O)O,False
28765086,C(C(CON)O)O,True
51387568,CCCOCC(CO)O,True
53388337,CC(CO)O,False
53799853,C(CO)COC(CO)CO,True
54275238,CCC(COO)O,False
54489591,CC(C(COC)O)OC,True
57347081,C(C(COS)O)O,True
57417971,[CH2]C(CO)O,False
60088535,CC(C[CH]O)O,False
71309694,CC(C(C)O)O,True
71309813,CC(CO)O,True
71317136,C1C(O1)CO,True
71662877,C(C(CO)O)O,False
71663057,C(C(CO)O)O,False
72198166,C(C(C(CO)O)O)O,False
73415849,C(C(CO)OCC(CO)O)O,False
79611158,CC(C(C)OC)O,True
79611159,CC(C(C)OC)O,True
85989013,C(C(CO)OS(=O)O)O,False
87075589,C(COOCC(CO)O)O,False
87119960,CCC(CO)OO,False
87197198,C(C(COCI)O)O,False
87205913,[B](O)OC(CO)CO,False
87328563,C(C(COSSS)O)O,False
87328675,C(C(COSS)O)O,False
87388299,C(C(COON)O)O,False
87400941,C(C(C[As])O)O,False
87420447,CC(C(COC)O)O,False
87462305,CCC(C(C)O)O,False
87547571,CC(C)OOCCO,False
87631483,B(O)(O)OC(C)CO,False
87738312,C(C(COP)OP)O,False
87738313,C(C(C(O)(P)P)O)O,False
87953081,C(C(CO)O)O,False
