HBA_cid,HBA_smiles,Vendor Status,GHS_info,Health Score,Environmental Score,HBA_InChIKey,HBA_MolecularFormula,HBA_MolecularWeight,HBA_mp
13813470,C[N+](C)(C)CC1=CC=CC=C1.[Br-].[Br-].[Br-],True,"['H315', 'H319', 'H335']",70,0,UZUKVMLVILGNPX-UHFFFAOYSA-K,C10H16Br3N-2,389.95,no mp data
6285,CC[N+](CC)(CC)CC.[Br-],True,"['H302', 'H315', 'H319', 'H335']",120,0,HWCKGOZZJDHMNC-UHFFFAOYSA-M,C8H20BrN,210.16,no mp data
82326,CC[N+](C)(CC)CC.[Cl-],True,"['H315', 'H319', 'H335']",70,0,NIUZJTWSUGSWJI-UHFFFAOYSA-M,C7H18ClN,151.68,no mp data
6225,CC[N+](CC)(CC)CC.[I-],True,"['H315', 'H319', 'H335']",70,0,UQFSVBXCNGCBBW-UHFFFAOYSA-M,C8H20IN,257.16,no mp data
69582,CC[N+](CC)(CC)CC.[F-],True,"['H302', 'H312', 'H315', 'H319', 'H332', 'H335']",220,0,QSUJAUYJBJRLKV-UHFFFAOYSA-M,C8H20FN,149.25,no mp data
16211205,CC[N+](CC)(CC)CC.O.[Cl-],True,"['H302', 'H315', 'H319', 'H335']",120,0,CALLTGJPWMIDPC-UHFFFAOYSA-M,C8H22ClNO,183.72,no mp data
11790998,CC[N+](CC)(CC)CC.F.F.F.F.[F-],True,"['H290', 'H300', 'H310', 'H314', 'H318', 'H330']",350,0,ANODKKTYHRYRDA-UHFFFAOYSA-M,C8H24F5N,229.28,no mp data
11085061,CC[N+](CC)(CC)CC.F.F.F.[F-],True,"['H290', 'H300', 'H310', 'H314', 'H318', 'H330']",350,0,HVDAPPODKZABKP-UHFFFAOYSA-M,C8H23F4N,209.27,no mp data
3083778,CC[N+](C)(CC)CC.[Br-],True,"['H315', 'H319', 'H335']",70,0,GRVPDGGTLNKOBZ-UHFFFAOYSA-M,C7H18BrN,196.13,no mp data
16211652,CC[N+](CC)(CC)CC.O.[F-],True,"['H302', 'H312', 'H315', 'H319', 'H332', 'H335']",220,0,YEKUWOWHPVKTCQ-UHFFFAOYSA-M,C8H22FNO,167.26,no mp data
20749,CC[N+]1(CCC(=C(C2=CC=CC=C2)C3=CC=CC=C3)C1C)CC.[Br-],True,['H302'],50,0,UCGJZJXOPSNTGZ-UHFFFAOYSA-M,C22H28BrN,386.4,no mp data
6454543,C[N+](C)(CCO)CC1=CC=CC=C1C=C.C=CC1=CC=CC=C1C=C.[Cl-],True,"['H315', 'H319']",20,0,DPRMXNMXCFHCAS-UHFFFAOYSA-M,C23H30ClNO,371.9,no mp data
6452152,C1CCC2=[N+](CC1)CCCN2CC3=CC=CC=C3.[Cl-],True,['H319'],10,0,CIIDVPBPKJUNNK-UHFFFAOYSA-M,C16H23ClN2,278.82,no mp data
112264,CC[N+]1(CCCC1)C.[Br-],True,['H341'],50,0,KHJQQUGSPDBDRM-UHFFFAOYSA-M,C7H16BrN,194.11,no mp data
11009532,CCCC[N+]1(CCCC1)C.[Br-],True,"['H302', 'H319']",60,0,LCZRPQGSMFXSTC-UHFFFAOYSA-M,C9H20BrN,222.17,no mp data
10825627,CCCCCC[N+](CC)(CC)CC.[Br-],True,"['H315', 'H319', 'H335']",70,0,NAWZSHBMUXXTGV-UHFFFAOYSA-M,C12H28BrN,266.26,no mp data
10059492,CCCCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319', 'H335']",70,0,JYVPKRHOTGQJSE-UHFFFAOYSA-M,C9H22BrN,224.18,no mp data
75854,CCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319']",20,0,YGGIZRRNXQJOTI-UHFFFAOYSA-M,C7H18BrN,196.13,no mp data
75853,CCC[N+](C)(C)C.[Br-],True,"['H315', 'H319']",20,0,FCGQIZKUTMUWDC-UHFFFAOYSA-M,C6H16BrN,182.1,no mp data
13552200,CC[N+](CC)(CC)CCCBr.[Br-],True,"['H315', 'H319', 'H335']",70,0,FNKGNRUAIHVWNL-UHFFFAOYSA-M,C9H21Br2N,303.08,no mp data
158451,CCC[N+](C)(C)CC.[Br-],True,"['H315', 'H319', 'H335']",70,0,BSMDPGZLSUDGEK-UHFFFAOYSA-M,C7H18BrN,196.13,no mp data
10921,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],True,"['H301', 'H315', 'H319', 'H335']",145,0,HLXQFVXURMXRPU-UHFFFAOYSA-L,C16H38Br2N2,418.3,267.77777777777777
5974,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],True,"['H302', 'H315', 'H318', 'H335', 'H373', 'H400', 'H312', 'H314', 'H319', 'H341', 'H361', 'H370']",420,100,LZZYPRNAOMGNLH-UHFFFAOYSA-M,C19H42BrN,364.4,240.0 
31280,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-],True,"['H302', 'H315', 'H319']",70,0,VUFOSBDICLTFMS-UHFFFAOYSA-M,C20H44BrN,378.5,182.0 
14250,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],True,"['H302', 'H314', 'H315', 'H318', 'H335', 'H373', 'H400', 'H312', 'H332']",310,100,CXRFDZFCGOPDTD-UHFFFAOYSA-M,C17H38BrN,336.4,247.5 
8152,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],True,"['H302', 'H314', 'H315', 'H318', 'H319', 'H335', 'H400', 'H410', 'H411', 'H312']",220,275,DDXLVDQZPFLQMZ-UHFFFAOYSA-M,C15H34ClN,263.89,no mp data
16388,CCCCCCCCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319', 'H335']",70,0,PLMFYJJFUUUCRZ-UHFFFAOYSA-M,C13H30BrN,280.29,no mp data
14249,CCCCCCCCCCCC[N+](C)(C)C.[Br-],True,"['H301', 'H302', 'H315', 'H317', 'H319', 'H335', 'H400', 'H410', 'H312', 'H314']",295,200,XJWSAJYUBXQQDR-UHFFFAOYSA-M,C15H34BrN,308.34,no mp data
2734117,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,QBVXKDJEZKEASM-UHFFFAOYSA-M,C32H68BrN,546.8,no mp data
18669,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,XRWMGCFJVKDVMD-UHFFFAOYSA-M,C26H56BrN,462.6,no mp data
16957,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,UMGXUWVIJIQANV-UHFFFAOYSA-M,C22H48BrN,406.5,no mp data
9880197,CCCCCCCCCCCC[N+](C)(C)CC.[Br-],True,"['H315', 'H319', 'H335']",70,0,FFGSPQDSOUPWGY-UHFFFAOYSA-M,C16H36BrN,322.37,no mp data
74964,CCCCCCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319', 'H335']",70,0,XCOHAFVJQZPUKF-UHFFFAOYSA-M,C11H26BrN,252.23,no mp data
74750,CCCCCCCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319']",20,0,SSEGNMJSEROZIF-UHFFFAOYSA-M,C12H28BrN,266.26,no mp data
70708,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319', 'H335']",70,0,SZEMGTQCPRNXEG-UHFFFAOYSA-M,C21H46BrN,392.5,no mp data
77293,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,PSLWZOIUBRXAQW-UHFFFAOYSA-M,C38H80BrN,631.0,no mp data
74014,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C.[I-].[I-],True,['H301'],75,0,ARMLJSXXXFXSLQ-UHFFFAOYSA-L,C16H38I2N2,512.3,no mp data
3017419,CCCCCCCCCCCCCCCCCC[N+](CCCCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,BUXYZRAZWWVKDS-UHFFFAOYSA-M,C72H148BrN,1107.9,no mp data
3014876,CCCCCCCCCC[N+](CCCCCCCCCC)(CCCCCCCCCC)CCCCCCCCCC.[Br-],True,"['H315', 'H319']",20,0,AHNISXOXSNAHBZ-UHFFFAOYSA-M,C40H84BrN,659.0,no mp data
3014871,CCCCCCCCCCCC[N+](CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,SMEFTBPJZGVAPK-UHFFFAOYSA-M,C48H100BrN,771.2,no mp data
24951,CCCCCCCCCC[N+](C)(C)C.[Cl-],True,"['H315', 'H319']",20,0,HXWGXXDEYMNGCT-UHFFFAOYSA-M,C13H30ClN,235.84,no mp data
44630344,CCCCCCCC[N+](C)(C)CCCCCC.[Br-],True,"['H315', 'H319']",20,0,KIEOLZRKTOBVMX-UHFFFAOYSA-M,C16H36BrN,322.37,no mp data
16218603,CCCCCCCCCC[N+](C)(CCCCCCCCCC)CCCCCCCCCC.CCCCCCCCC[N+](C)(CCCCCCCCC)CCCCCCCCC.CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-].[Cl-].[Cl-],True,"['H302', 'H314']",75,0,RMQKQYWUFZNCMA-UHFFFAOYSA-K,C84H180Cl3N3,1338.7,no mp data
13743279,CCCCCCCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[I-],True,"['H315', 'H319', 'H335']",70,0,NRZQLNALJZURRV-UHFFFAOYSA-M,C33H70IN,607.8,no mp data
12073128,CCCCCCCCCCCCCCCC[N+](CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,RBIRNUUGKIFHKK-UHFFFAOYSA-M,C64H132BrN,995.6,no mp data
11503288,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,QLPMKRZYJPNIRP-UHFFFAOYSA-M,C25H54BrN,448.6,no mp data
11180877,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[I-],True,"['H315', 'H319']",20,0,KGPZZJZTFHCXNK-UHFFFAOYSA-M,C32H68IN,593.8,no mp data
10174260,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[F-],True,['H301'],75,0,QGAKFUJUPKPDCN-UHFFFAOYSA-M,C32H68FN,485.9,no mp data
9808235,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,VIXPKJNAOIWFMW-UHFFFAOYSA-M,C34H72BrN,574.8,no mp data
3017829,CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,IRMGVPILCPGYNQ-UHFFFAOYSA-M,C30H64BrN,518.7,no mp data
3015796,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[I-],True,"['H315', 'H319', 'H335', 'H360']",120,0,AMUCTDNDAXEAOW-UHFFFAOYSA-M,C25H54IN,495.6,no mp data
76408,CCCCCCCC[N+](C)(C)CCCCCCCC.[Br-],True,"['H315', 'H319']",20,0,APTVNWGLSRAOFJ-UHFFFAOYSA-M,C18H40BrN,350.4,no mp data
34061,CCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCC.[I-].[I-],True,"['H315', 'H319', 'H335']",70,0,UEXRNIUHKWUZFJ-UHFFFAOYSA-L,C34H74I2N2,764.8,no mp data
24949,CCCCCCCC[N+](C)(C)C.[Cl-],True,"['H315', 'H319', 'H335']",70,0,AQZSPJRLCJSOED-UHFFFAOYSA-M,C11H26ClN,207.78,no mp data
14619958,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[I-],True,"['H315', 'H319']",20,0,MSSPASWTWTZPQU-UHFFFAOYSA-M,C38H80IN,678.0,no mp data
10045219,CCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319']",20,0,TTXDNWCDEIIMDP-UHFFFAOYSA-M,C20H44BrN,378.5,no mp data
10861601,CCCCCCCCCCCC[N+](C)(C)CCCCl.[Br-],True,"['H315', 'H319', 'H335']",70,0,FCQSEXGTTIULLO-UHFFFAOYSA-M,C17H37BrClN,370.8,no mp data
