HBA_cid,HBA_smiles,Vendor Status,GHS_info,Health Score,SCALED HEALTH,HEALTH PI,Environmental Score,ENV SCALED,ENV PI,HBA_InChIKey,HBA_MolecularFormula,HBA_MolecularWeight,SCALED MW,MW PI,HBA_mp,TOTAL PI,RANK,MIN MW in set,HBA
65551,CC(=O)OCC[N+](C)(C)C.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,ZEHGKSPCAMLJDC-UHFFFAOYSA-M,C7H16BrNO2,226.11,41.19234001,11.121931800000002,no mp data,76.4219318,49,,Acetylcholine bromide
87300,C[N+](C)(C)CCO.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,FNPBHXSBDADRBT-UHFFFAOYSA-M,C5H14INO,231.08,40.3063874,10.8827246,no mp data,76.18272459999999,50,,Choline iodide
9805153,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,BWNMWDJZWBEKKJ-UHFFFAOYSA-M,C31H58ClN,480.2,19.39608496,5.23694294,no mp data,76.03694294,51,,Behenalkonium chloride
12767855,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.O.[Cl-],True,['H314'],25,95,52.25,0,100.0,18.0,MEAWKEQKQGFJHS-UHFFFAOYSA-M,C27H52ClNO,442.2,21.06286748,5.68697422,no mp data,75.93697422,52,,BenzyldiMethylstearylaMMoniuM Chloride Hydrate
67803,C[N+](C)(C)C.[F-],True,"['H302', 'H312', 'H315', 'H319', 'H332', 'H335']",220,56,30.8,0,100.0,18.0,GTDKXDWWMOMSFL-UHFFFAOYSA-M,C4H12FN,93.14,100.0,27.0,no mp data,75.8,53,,Tetramethylammonium fluoride
16212312,CC[N+](CC)(CC)CC1=CC=CC=C1.O.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,RSSXVMKLXXFFDT-UHFFFAOYSA-M,C13H24ClNO,245.79,37.89413727,10.23141706,no mp data,75.53141706,54,,Benzyl(triethyl)azanium;chloride;hydrate
11726816,CCCC[N+](CCCC)(CCCC)CCCC.O.O.O.[F-],True,"['H314', 'H318']",50,90,49.5,0,100.0,18.0,VEPTXBCIDSFGBF-UHFFFAOYSA-M,C16H42FNO3,315.51,29.52045894,7.970523914,no mp data,75.47052391,55,,Tetrabutylammonium fluoride trihydrate
74964,CCCCCCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,XCOHAFVJQZPUKF-UHFFFAOYSA-M,C11H26BrN,252.23,36.9266146,9.970185941,no mp data,75.27018594,56,,n-Octyltrimethylammonium bromide
162073,C[N+](C)(CCOC(=O)C=C)CC1=CC=CC=C1.[Cl-],True,"['H317', 'H319', 'H412']",35,93,51.15,50,81.81818182,14.72727273,ZGCZDEVLEULNLJ-UHFFFAOYSA-M,C14H20ClNO2,269.77,34.52570708,9.321940912999999,no mp data,75.19921364,57,,Dimethylaminoethyl acrylate benzyl chloride
6225,CC[N+](CC)(CC)CC.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,UQFSVBXCNGCBBW-UHFFFAOYSA-M,C8H20IN,257.16,36.21869653,9.779048063,no mp data,75.07904806,58,,Tetraethylammonium iodide
11180877,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[I-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,KGPZZJZTFHCXNK-UHFFFAOYSA-M,C32H68IN,593.8,15.68541596,4.235062311,no mp data,75.03506231,59,,Tetra-n-octylammonium Iodide
78667,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Cl-],True,"['H314', 'H317']",50,90,49.5,0,100.0,18.0,SXAWRMKQZKPHNJ-UHFFFAOYSA-M,C20H44ClN,334.0,27.88622754,7.529281437000001,no mp data,75.02928144,60,,Tetrapentylammonium chloride
5946,CC[N+](CC)(CC)CC.[Cl-],True,"['H302', 'H315', 'H319', 'H335']",120,76,41.8,0,100.0,18.0,YMBCJWGVCUEGHA-UHFFFAOYSA-M,C8H20ClN,165.7,56.21001811,15.17670489,no mp data,74.97670489,61,,Tetraethylammonium chloride
16739405,CCCCC[N+](CCCC)(CCCC)CCCC.[Br-],True,['H302'],50,90,49.5,0,100.0,18.0,SJHCESPLNOBUMO-UHFFFAOYSA-M,C17H38BrN,336.4,27.68727705,7.475564803999999,no mp data,74.97556479999999,62,,Tributylpentylammonium bromide
10825627,CCCCCC[N+](CC)(CC)CC.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,NAWZSHBMUXXTGV-UHFFFAOYSA-M,C12H28BrN,266.26,34.98084579,9.444828363,no mp data,74.74482836,63,,Triethylhexylammonium bromide
71309260,CCC[N+](CCC)(CCC)CCC.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,BGQMOFGZRJUORO-IDBRGDLFSA-M,C12H28BrN,267.25,34.85126286,9.409840973,no mp data,74.70984097,64,,Tetrapropylammonium-15N bromide
162303,C[N+](C)(CCO)CCO.[Cl-],True,"['H302', 'H315', 'H319', 'H335']",120,76,41.8,0,100.0,18.0,OPVXPOIGBSHXNM-UHFFFAOYSA-M,C6H16ClNO2,169.65,54.90126732,14.82334218,no mp data,74.62334218,65,,Bis(2-hydroxyethyl)dimethylammonium chloride
6097067,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,YTRIOKYQEVFKGU-UHFFFAOYSA-M,C16H28ClN,269.9,34.50907744,9.317450908,no mp data,74.61745091,66,,Benzyltripropylammonium chloride
3014876,CCCCCCCCCC[N+](CCCCCCCCCC)(CCCCCCCCCC)CCCCCCCCCC.[Br-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,AHNISXOXSNAHBZ-UHFFFAOYSA-M,C40H84BrN,659.0,14.13353566,3.8160546280000003,no mp data,74.61605463,67,,Tetrakis(decyl)ammonium bromide
45050597,CC1=CC(=C(C=C1C)C[N+](C)(C)C)C.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,JYBOSHDAHGXPKZ-UHFFFAOYSA-M,C13H22BrN,272.22,34.21497318,9.23804276,no mp data,74.53804276,68,,"N,N,N-Trimethyl(2,4,5-trimethylphenyl)methanaminium bromide"
14619958,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[I-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,MSSPASWTWTZPQU-UHFFFAOYSA-M,C38H80IN,678.0,13.73746313,3.709115044,no mp data,74.50911504,69,,Dimethyldioctadecylammonium Iodide
80057,CC[N+](CC)(CC)CCO.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,XQDHXDORJFXNDX-UHFFFAOYSA-M,C8H20INO,273.16,34.09723239,9.206252746,no mp data,74.50625275,70,,(2-Hydroxyethyl)triethylammonium iodide
5938,C[N+](C)(C)CCCCCC[N+](C)(C)C.[Br-].[Br-],True,['H370'],50,90,49.5,0,100.0,18.0,FAPSXSAPXXJTOU-UHFFFAOYSA-L,C12H30Br2N2,362.19,25.71578453,6.9432618239999995,no mp data,74.44326182,71,,Hexamethonium bromide
70681,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,NHGXDBSUJJNIRV-UHFFFAOYSA-M,C16H36ClN,277.9,33.51565311,9.04922634,no mp data,74.34922634,72,,Tetrabutylammonium chloride
16217571,C[N+](C)(C)C.[Cl-],True,"['H301', 'H312', 'H315', 'H319', 'H335']",195,61,33.55,0,100.0,18.0,OKIZCWYLBDKLSU-LJJZSEGWSA-M,C4H12ClN,110.59,84.22099647,22.73966905,no mp data,74.28966905,73,,Tetramethyl(15N)azanium;chloride
10062191,CCCC[N+](C)(CCCC)CCCC.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,DHAWHVVWUNNONG-UHFFFAOYSA-M,C13H30BrN,280.29,33.22986906,8.972064647,no mp data,74.27206465,74,,Tributylmethylammonium bromide
3017238,CCCC[N+](CCC)(CCC)CCC.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,SXUONWAMSFNGTD-UHFFFAOYSA-M,C13H30BrN,280.29,33.22986906,8.972064647,no mp data,74.27206465,74,,Butyltripropylammonium bromide
16388,CCCCCCCCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,PLMFYJJFUUUCRZ-UHFFFAOYSA-M,C13H30BrN,280.29,33.22986906,8.972064647,no mp data,74.27206465,74,,Decyltrimethylammonium bromide
20749,CC[N+]1(CCC(=C(C2=CC=CC=C2)C3=CC=CC=C3)C1C)CC.[Br-],True,['H302'],50,90,49.5,0,100.0,18.0,UCGJZJXOPSNTGZ-UHFFFAOYSA-M,C22H28BrN,386.4,24.10455487,6.508229814,no mp data,74.00822981,77,,Prifinium bromide
13047371,C[N+]1(CCC2=CC=CC=C2C1)C.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,JEXHVRQCLSJLRD-UHFFFAOYSA-M,C11H16IN,289.16,32.21054088,8.696846037,no mp data,73.99684604,78,,"2,2-Dimethyl-1,2,3,4-tetrahydroisoquinolin-2-ium iodide"
40887,CC(C1=CC=CC=C1)[N+](C)(C)C.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,YOCNHAYWAZXNAZ-UHFFFAOYSA-M,C11H18IN,291.17,31.9881856,8.636810111,no mp data,73.93681011,79,,alpha-Phenylethyl-trimethylammonium iodide
