HBD_cid,HBD_smiles,Vendor Status,GHS_info,Health Score,Environmental Score
82236093,CCCC(C)(C1=NC=CN1)N,True,No GHS data available,100,100
82237861,CC1=NC(=C(N1)N)N(C)CC2=NC=CN2C,True,No GHS data available,100,100
82237979,C1CC1NCCC2=NC=CN2,True,No GHS data available,100,100
82237983,CC(C)NCCC1=NC=CN1,True,No GHS data available,100,100
82373937,C1=C(NC(=N1)C(F)(F)F)N,True,No GHS data available,100,100
82373939,CN(C)CCC1=NC=C(N1)N,True,No GHS data available,100,100
82400061,C1CN(CCN1)C(CN)C2=NC=CN2,True,No GHS data available,100,100
82409787,C1=CN=C(N1)C(CC(F)(F)F)N,True,No GHS data available,100,100
82410572,C1=CN=C(N1)C2=C(C=NC(=O)N2)N,True,No GHS data available,100,100
82412854,C1=CN=C(N1)N(CCN)C(=O)N,True,No GHS data available,100,100
82416530,CN(C)CCN1C=NC=C1N,True,No GHS data available,100,100
82416531,CCN1C(=CN=C1N(C)C)N,True,No GHS data available,100,100
82416536,CC(CN)N(C)C1=NC=CN1,True,No GHS data available,100,100
82416542,CC(CN(C)C1=NC=CN1)N,True,No GHS data available,100,100
82418181,CN(CCN)C1=NC=CN1,True,No GHS data available,100,100
82503130,CC(CN)N(C)C1=NC=CN1C,True,No GHS data available,100,100
82558897,C1=CN(C(=N1)C(F)(F)F)CCN,True,No GHS data available,100,100
82593894,C1CC(C1)(C2=NC=CN2)N,True,No GHS data available,100,100
82594050,CC(C)(C1=NC=CN1)NC,True,No GHS data available,100,100
82597230,CC1=NC=C(N1)N2CCNCC2,True,No GHS data available,100,100
82668199,CN1CCNCC1C2=NC=CN2,True,No GHS data available,100,100
82668901,C1CSC(=N1)NCC2=NC=CN2,True,No GHS data available,100,100
82710358,CC(C)CONCC1=NC=CN1,True,No GHS data available,100,100
82711516,COCCONCC1=NC=CN1,True,No GHS data available,100,100
82712411,C1=CN=C(N1)CNOCC(F)(F)F,True,No GHS data available,100,100
82719879,CC(C)(C)ONCC1=NC=CN1,True,No GHS data available,100,100
82758423,CCC(CC1=NC=CN1)N,True,No GHS data available,100,100
82758521,CCC(CC1=NC=CN1)N,True,No GHS data available,100,100
82842457,CS(=O)(=O)CS(=O)(=O)NC1=NC=CN1,True,No GHS data available,100,100
82890219,CN1CCN(CC1)CCNCCN2C=CN=C2,True,No GHS data available,100,100
82937558,CC(CN(C)C)NC1=NC=CN1C,True,No GHS data available,100,100
82938642,CCN1C=CN=C1NC(C)CN(C)C,True,No GHS data available,100,100
82942378,CCCOCCCNCC1=NC=CN1,True,No GHS data available,100,100
