HBA_cid,HBA_smiles,Vendor Status,GHS_info,Health Score,SCALED HEALTH,HEALTH PI,Environmental Score,ENV SCALED,ENV PI,HBA_InChIKey,HBA_MolecularFormula,HBA_MolecularWeight,SCALED MW,MW PI,HBA_mp,TOTAL PI,RANK,MIN MW in set
2724282,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Br-],TRUE,"['H302', 'H312', 'H315', 'H319', 'H332', 'H335']",220,56,30.8,0,100,18,UDYGXWPMSJPFDG-UHFFFAOYSA-M,C19H34BrN,356.4,26.1335578,7.056060606,no mp data,55.85606061,159,
31204,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],TRUE,"['H302', 'H314', 'H315', 'H318', 'H400', 'H410']",110,78,42.9,200,27.27272727,4.909090909,SFVFIFLLYFPGHH-UHFFFAOYSA-M,C27H50ClN,424.1,21.96180146,5.929686395,no mp data,53.7387773,160,
91822,CCCC[N+](C)(CCCC)CCCC.[Cl-],TRUE,"['H302', 'H312', 'H315', 'H319', 'H335', 'H400', 'H410', 'H413']",170,66,36.3,225,18.18181818,3.272727273,IPILPUZVTYHGIL-UHFFFAOYSA-M,C13H30ClN,235.84,39.49287653,10.66307666,no mp data,50.23580393,161,
3014969,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],TRUE,"['H315', 'H319', 'H400', 'H410', 'H302', 'H312', 'H314']",145,71,39.05,200,27.27272727,4.909090909,YSJGOMATDFSEED-UHFFFAOYSA-M,C25H54ClN,404.2,23.043048,6.221622959,no mp data,50.18071387,162,
23705,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],TRUE,"['H301', 'H302', 'H314', 'H315', 'H319', 'H335', 'H400']",220,56,30.8,100,63.63636364,11.45454545,KHSLHYAUZSPBIU-UHFFFAOYSA-M,C21H38BrN,384.4,24.22996878,6.542091571,no mp data,48.79663703,163,
24952,CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Cl-],TRUE,"['H302', 'H314', 'H315', 'H318', 'H400', 'H410', 'H411']",110,78,42.9,275,0,0,RSHHCURRBLAGFA-UHFFFAOYSA-M,C30H64ClN,474.3,19.63736032,5.302087287,no mp data,48.20208729,164,
15743,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-],TRUE,"['H314', 'H302', 'H315', 'H318', 'H335', 'H400', 'H410']",160,68,37.4,200,27.27272727,4.909090909,ZCPCLAPUXMZUCD-UHFFFAOYSA-M,C34H72ClN,530.4,17.56033183,4.741289593,no mp data,47.0503805,165,
11085061,CC[N+](CC)(CC)CC.F.F.F.[F-],TRUE,"['H290', 'H300', 'H310', 'H314', 'H318', 'H330']",350,30,16.5,0,100,18,HVDAPPODKZABKP-UHFFFAOYSA-M,C8H23F4N,209.27,44.5070961,12.01691595,no mp data,46.51691595,166,
11790998,CC[N+](CC)(CC)CC.F.F.F.F.[F-],TRUE,"['H290', 'H300', 'H310', 'H314', 'H318', 'H330']",350,30,16.5,0,100,18,ANODKKTYHRYRDA-UHFFFAOYSA-M,C8H24F5N,229.28,40.62281926,10.9681612,no mp data,45.4681612,167,
21218,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],TRUE,"['H301', 'H315', 'H318', 'H319', 'H400', 'H410', 'H302', 'H314']",195,61,33.55,200,27.27272727,4.909090909,XKBGEWXEAPTVCK-UHFFFAOYSA-M,C25H54ClN,404.2,23.043048,6.221622959,no mp data,44.68071387,168,
