HBD_cid,HBD_smiles,Vendor Status,GHS_info,Health Score,SCALED Health,HEALTH PI,Environmental Score,SCALED ENV,ENV PI,HBD_InChIKey,HBD_MolecularFormula,HBD_MolecularWeight,SCALED MW,MW PI,HBD_mp,TOTAL PI,RANK
80406,CC(C)(C1=CC=C(C=C1)Cl)C(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,SSFDAZXGUKDEAH-UHFFFAOYSA-N,C10H11ClO2,198.64,30.23056786,8.162253323,no mp data,76.73696597,1667
22270652,CC(CC1=CC=C(C=C1)Cl)C(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,DFLJNMPGPGFGBR-UHFFFAOYSA-N,C10H11ClO2,198.64,30.23056786,8.162253323,no mp data,76.73696597,1667
12678200,COC(=O)C(CC1=CC=CC=C1)Cl,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,DWKOUAHXOPJAHG-UHFFFAOYSA-N,C10H11ClO2,198.64,30.23056786,8.162253323,no mp data,76.73696597,1667
2782507,C1=C(C(=C(C(=C1F)Cl)O)Cl)F,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,RBVUEUWRQAOTDL-UHFFFAOYSA-N,C6H2Cl2F2O,198.98,30.17891245,8.148306362,no mp data,76.72301901,1670
14856,CC1=C(C=CC=C1Cl)O,TRUE,"['H302', 'H319', 'H411']",60,93.10344828,51.20689655,75,78.57142857,14.14285714,WADQOGCINABPRT-UHFFFAOYSA-N,C7H7ClO,142.58,42.11670641,11.37151073,86,76.72126443,1671
4593765,CCCCCC1CCC(CC1)C2=CC=C(C=C2)O,TRUE,"['H317', 'H413']",25,97.12643678,53.41954023,25,92.85714286,16.71428571,QRAZRBGYBYIGRL-UHFFFAOYSA-N,C17H26O,246.4,24.37094156,6.580154221,no mp data,76.71398016,1672
18350615,CCCC1=CC(=CC=C1)S(=O)(=O)N,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,URRAWPBGQJUEGS-UHFFFAOYSA-N,C9H13NO2S,199.27,30.13499272,8.136448035,no mp data,76.71116068,1673
4173488,COC(=O)CC(CC(=O)OC)C1=CC=CC=C1,TRUE,['H302'],50,94.25287356,51.83908046,0,100,18,ZJXYACWWRPIGEQ-UHFFFAOYSA-N,C13H16O4,236.26,25.41691357,6.862566664,no mp data,76.70164712,1674
75715,CCOC1=C(C=CC(=C1)C)O,TRUE,"['H302', 'H315', 'H317', 'H318']",110,87.35632184,48.04597701,0,100,18,ZWQBCCVEOIYNDL-UHFFFAOYSA-N,C9H12O2,152.19,39.45725738,10.65345949,no mp data,76.6994365,1675
12757679,CC1=CC(=CC(=C1)S(=O)(=O)N)C,TRUE,"['H303', 'H315', 'H319', 'H335']",80,90.8045977,49.94252874,0,100,18,BRPHYVPAIXLWED-UHFFFAOYSA-N,C8H11NO2S,185.25,32.41565452,8.752226721,no mp data,76.69475546,1676
