HBD_cid,HBD_smiles,Vendor Status,GHS_info,Health Score,SCALED Health,HEALTH PI,Environmental Score,SCALED ENV,ENV PI,HBD_InChIKey,HBD_MolecularFormula,HBD_MolecularWeight,SCALED MW,MW PI,HBD_mp,TOTAL PI,RANK,HBD
21864668,C1C(C1C(=O)O)C2=CC=CC=C2Cl,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,FXRZNBPQNVOJTP-UHFFFAOYSA-N,C10H9ClO2,196.63,30.53959213,8.245689874,no mp data,73.65948298,2526,2-(2-Chlorophenyl)cyclopropanecarboxylic acid
2756959,C1=CC=C(C=C1)C(CCBr)(C2=CC=CC=C2)C(=O)O,True,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100.0,18.0,GFIYIIRFIODLLU-UHFFFAOYSA-N,C16H15BrO2,319.19,18.81324603,5.079576428,no mp data,73.65428907,2529,"4-Bromo-2,2-diphenylbutyric acid"
11088502,CCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,True,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100.0,18.0,JDRSMPFHFNXQRB-LJIZCISZSA-N,C16H32O6,320.42,18.741027399999997,5.060077398,no mp data,73.63479004,2530,Decyl alpha-D-glucopyranoside
561274,CC1=CC=C(C=C1)S(=O)(=O)N2CC2,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,VBNWSEVVMYMVLC-UHFFFAOYSA-N,C9H11NO2S,197.26,30.44205617,8.219355166,no mp data,73.63314827,2531,N-Tosylaziridine
37791,C1C2CC3(CC1CC(C2)(C3)C(=O)O)C4=CC=CC=C4,True,"['H315', 'H319', 'H335', 'H413']",70,91.95402299,50.57471264,25,92.85714286,16.71428571,APWLCUAAISKVPI-UHFFFAOYSA-N,C17H20O2,256.34,23.4259187,6.3249980489999995,no mp data,73.61399641,2532,3-Phenyladamantane-1-carboxylic acid
294567,CC(C)CCOC(=O)C(C1=CC=CC=C1)Br,True,"['H315', 'H335', 'H413']",60,93.10344828,51.20689655,25,92.85714286,16.71428571,CKPGTYLPMYKUDW-UHFFFAOYSA-N,C13H17BrO2,285.18,21.05687636,5.685356617,no mp data,73.60653888,2533,3-Methylbutyl bromo(phenyl)acetate
98916,CC1=CC=C(C=C1)S(=O)(=O)OC(C(F)(F)F)C(F)(F)F,True,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100.0,18.0,QGSVBFAODCJVIZ-UHFFFAOYSA-N,C10H8F6O3S,322.23,18.63575707,5.0316544080000005,no mp data,73.60636705,2534,"2-Propanol, 1,1,1,3,3,3-hexafluoro-, 4-methylbenzenesulfonate"
46782864,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,True,"['H302', 'H318', 'H334']",100,88.50574713,48.67816092,0,100.0,18.0,LUKBXSAWLPMMSZ-OYESDQHJSA-N,C14H12O3,234.2,25.64047822,6.92292912,no mp data,73.60109004,2535,Resveratrol-13C6
71311294,C(C(=O)O)Cl,True,"['H301', 'H311', 'H314', 'H400']",175,79.88505747,43.93678161,100,71.42857143,12.85714286,FOCAUTSVDIKZOP-ZDOIIHCHSA-N,C2H3ClO2,96.48,62.24087894,16.80503731,no mp data,73.59896178,2536,CID 71311294
10035616,C1C(C1(F)F)(C2=CC=CC=C2)C(=O)O,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,QXRNDRDZDULUAG-UHFFFAOYSA-N,C10H8F2O2,198.17,30.30226573,8.181611747,no mp data,73.59540485,2537,"2,2-Difluoro-1-phenylcyclopropanecarboxylic acid"
