X,Y,rank
-31.570517,45.941006,178
-19.918205,60.11957,179
5.2965407,62.65134,180
-14.380515,48.91174,181
-66.068016,-5.378917,182
-30.366848,46.055332,183
-40.362568,43.0003,184
3.6274815,59.171406,185
-66.07887,12.77811,186
-77.02509,4.7321577,187
-39.968586,1.0719203,188
-57.217987,56.031208,189
-57.878246,0.74300534,190
-77.60943,1.0168455,191
-66.97143,9.536242,192
-59.53171,55.403606,193
-72.03751,16.9596,194
-1.4480752,-10.329691,195
-66.65088,-5.486764,196
-57.40136,-0.17209807,197
-29.63403,49.485466,198
-35.56327,56.227993,199
-55.01265,53.08199,200
-61.732944,8.514595,201
-61.733093,8.514653,202
-71.57467,10.746429,203
-56.812283,1.1268057,204
-31.716549,41.674633,205
26.186426,10.296249,206
0.24087806,-40.63354,207
-66.81289,18.369574,208
-69.01778,18.177263,209
-78.0484,1.4923788,210
24.502138,47.685497,211
36.226635,13.650935,212
26.250336,10.475065,213
25.650064,-41.750137,214
-57.533745,30.253553,215
-5.463595,46.460335,216
-17.695293,67.0136,217
-78.25937,0.24204779,218
-23.543484,40.444168,219
-40.86793,47.610435,220
-59.54254,-27.560188,221
37.139137,-23.911541,222
-9.301373,45.429024,223
-59.53171,55.403606,224
-2.114951,-42.23454,225
-60.72669,-5.2128925,226
-71.32359,13.678826,227
48.461952,-1.0907396,228
31.63484,-39.027554,229
34.706135,-37.812813,230
7.001978,59.29751,231
-81.10632,3.3559883,232
25.621641,17.531622,233
28.006306,-28.603685,234
-6.7609525,-14.315561,235
-63.627995,-32.939285,236
-63.488544,-29.94656,237
-58.456593,54.074203,238
-58.456593,54.074203,239
-41.36889,48.63557,240
-41.368885,48.635548,241
-40.815224,39.51384,242
-57.403656,-0.17035794,243
-40.94141,-0.7815361,244
7.001978,59.29751,245
-2.114951,-42.23454,246
4.276208,-47.53747,247
-58.456593,54.074203,248
-58.456593,54.074203,249
-5.6506586,-52.076916,250
-7.382039,-21.700104,251
-5.8776703,-21.50575,252
-58.93174,0.8008207,253
-4.3635855,-14.002412,254
-19.166142,-15.982407,255
-77.30806,2.1147006,256
-35.37746,56.71055,257
-55.233456,34.231613,258
-60.45925,-4.4701014,259
-35.472572,25.696411,260
-1.8779918,-42.329243,261
49.157948,28.457333,262
-65.86673,-4.4695954,263
57.68454,-3.6649907,264
31.105865,15.011354,265
-19.918205,60.119556,266
-30.171938,49.689793,267
-30.172016,49.68979,268
26.57706,26.061296,269
-59.259995,15.082611,270
-59.259995,15.082611,271
-59.259384,15.082485,272
-70.09976,14.124431,273
1.1155287,-57.24544,274
7.001978,59.29751,275
-16.723644,67.39219,276
-33.435604,30.07104,277
38.15348,21.172804,278
41.202076,-23.228544,279
5.4720674,56.390358,280
15.366328,-21.97105,281
-4.23089,-52.242912,282
11.477685,-56.02838,283
40.73423,-56.279194,284
-35.563274,56.227997,285
-17.805613,71.34018,286
-19.97834,69.173134,287
-15.42964,70.871864,288
-17.023005,66.52562,289
-19.500483,44.263634,290
-22.473038,46.430187,291
-43.646667,-5.7160106,292
-26.922419,34.15769,293
-2.114951,-42.23454,294
18.815525,-16.65678,295
-14.989349,70.20811,296
-18.509474,67.45725,297
33.410614,-52.831795,298
-30.694763,45.705994,299
-60.334606,-29.214272,300
-39.928505,1.0629108,301
-35.70086,29.477116,302
-20.916927,40.516956,303
-34.401997,24.944786,304
-57.96562,32.3004,305
-19.432564,66.78712,306
-3.844943,52.312695,307
2.3554776,2.4635608,308
